1	2	3	4	5	6	othercomments
4	4	5	4	4	4	
4	0	5	0	5	5	
5	4	4	4	5	5	
4	4	4	4	4	4	
4	4	4	4	3	3	agree
3	3	3	3	3	3	
2	4	4	4	4	4	it was really good! i loved the graphics
4	4	5	4	4	4	
4	5	5	5	4	4	
5	4	4	4	4	4	
3	3	3	3	3	3	
5	5	5	5	5	5	fabulous game! 
4	4	4	4	4	4	
3	5	4	4	5	5	
3	4	3	4	3	3	
3	3	3	3	3	3	
3	3	3	3	3	3	
4	4	5	5	5	5	really good m8 lol
3	3	3	3	3	3	
3	3	3	3	3	3	
1	1	1	1	1	1	lolGAY
5	5	5	5	5	5	it woz wel fun
3	3	3	3	3	3	
3	5	5	5	3	3	
4	4	4	4	3	3	
4	4	4	3	4	4	
3	3	4	4	4	4	
3	3	3	3	3	3	
3	3	3	3	3	3	test
3	3	3	3	3	3	
3	3	3	3	3	3	
5	5	5	5	5	5	
5	5	5	5	5	5	
