q	b	p	t	u	overall
228	0	0	0	0	1228
177	0	0	0	0	1177
0	101	0	0	0	1101
128	0	0	0	0	1128
293	105	0	0	0	1548
226	0	0	0	0	1376
582	0	240	0	0	1822
650	0	0	0	0	1650
228	0	0	0	0	1228
0	0	0	0	0	1000
0	0	0	0	0	1000
0	0	0	0	0	1000
0	0	0	0	0	1000
0	0	0	0	0	1000
0	0	0	0	0	1000
0	0	0	0	0	1000
0	0	0	0	0	1000
0	0	0	0	0	1000
0	0	0	0	0	1000
0	0	0	0	0	1000
0	0	0	0	0	1000
179	0	0	0	0	1179
128	0	0	0	0	1128
178	0	180	50	75	1483
300	110	140	250	75	1875
603	109	80	250	75	2117
580	0	60	50	75	1765
303	20	80	50	30	1483
820	20	60	250	70	2220
